Aufnahmezeit;Stromstärke (A);Wirkleistung (W);Scheinleistung (W);Nutzungsart;Bildschirmhelligkeit;Volume;Bluetooth;Microfon;Kamera ;Weitere Anwenundungen geöffnet
"16-11-22 15:36:00;0,23;22,16004;52,762;Teams Meeting&Screen Sharing;0,5;1;aus;Nutzung;Nutzung;PPT, PDF"
"16-11-22 15:37:00;0,226;21,765156;51,8218;Teams Meeting&Screen Sharing;0,5;1;aus;Nutzung;Nutzung;PPT, PDF"
"16-11-22 15:38:00;0,228;21,948192;52,2576;Teams Meeting&Screen Sharing;0,5;1;aus;Nutzung;Nutzung;PPT, PDF"
"16-11-22 15:39:00;0,235;22,64178;53,909;Teams Meeting&Screen Sharing;0,5;1;aus;Nutzung;Nutzung;PPT, PDF"
"16-11-22 15:40:00;0,221;20,804056;50,7416;Teams Meeting&Screen Sharing;0,5;1;aus;Nutzung;Nutzung;PPT, PDF"
"16-11-22 15:41:00;0,203;18,62728;46,5682;Teams Meeting&Screen Sharing;0,5;1;aus;Nutzung;Nutzung;PPT, PDF"
"16-11-22 15:42:00;0,205;18,819;47,0475;Teams Meeting&Screen Sharing;0,5;1;aus;Nutzung;Nutzung;PPT, PDF"
"16-11-22 15:43:00;0,212;19,45312;48,6328;Spotify;0,5;1;aus;Nutzung;Nutzung;PPT, PDF"
"16-11-22 15:44:00;0,194;16,911368;44,5036;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:45:00;0,161;12,932325;36,9495;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:46:00;0,141;11,00223;32,3595;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:47:00;0,143;11,15829;32,8185;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:48:00;0,063;5,056065;14,4459;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:49:00;0,063;4,907322;14,4333;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:50:00;0,063;4,909464;14,4396;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:51:00;0,063;4,90518;14,427;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
